Set,Price_Euro,Pieces,Minifigs
Olivia's Summer Heart Box,7.99,93.0,
Mia's Summer Heart Box,7.99,85.0,
Emmet,14.99,113.0,
Wyldstyle,14.99,134.0,
Benny,9.99,103.0,
Sweet Mayhem,9.99,137.0,
Cherry Picker,9.99,155.0,
Power Boat,14.99,174.0,
Getaway Truck,19.99,128.0,
Police Pursuit,19.99,120.0,
Rescue Helicopter,39.99,325.0,
Chevrolet Corvette ZR1,49.99,579.0,
Tracked Loader,79.99,827.0,
Remote-Controlled Stunt Racer,99.99,324.0,
Porsche 911 RSR,179.99,1580.0,
Compact Crawler Crane,99.99,920.0,
Car Transporter,179.99,2493.0,
4x4 X-Treme Off-Roader,249.99,958.0,
Liebherr R 9800,449.99,4108.0,
Land Rover Defender,199.99,2573.0,
Elsa's Ice Palace,79.99,701.0,
City Shaper Challenge Kit,,2238.0,
BOOMTOWN BUILD Inspire Set,,739.0,
BOOMTOWN BUILD Discovery Set,,78.0,4.0
Ski Resort,89.99,806.0,
Jet Patrol,9.99,54.0,
Sky Police Drone Chase,29.99,192.0,
Parachute Arrest,39.99,218.0,
Diamond Heist,59.99,400.0,
Air Base,89.99,529.0,
Barbecue Burn Out,9.99,64.0,
Dock Side Fire,19.99,97.0,
Burger Bar Fire Rescue,39.99,327.0,
Fire Station,69.99,509.0,
Downtown Fire Brigade,99.99,943.0,
Fire Plane,59.99,363.0,
Desert Rally Racer,9.99,75.0,
Construction Loader,9.99,88.0,
Garbage Truck,19.99,90.0,
Diving Yacht,19.99,148.0,
Snow Groomer,19.99,197.0,
Harvester Transport,29.99,358.0,
Satellite Service Mission,9.99,84.0,1.0
Rover Testing Drive,29.99,202.0,2.0
Mars Research Shuttle,39.99,273.0,
Lunar Space Station,59.99,412.0,
Deep Space Rocket and Launch Control,99.99,837.0,
Rocket Assembly & Transport,149.99,1055.0,
People Pack - Space Research and Development,39.99,209.0,
Fire Chief Response Truck,29.99,201.0,2.0
Garage Centre,49.99,234.0,
Donut Shop Opening,89.99,790.0,
People Pack - Fun Fair,39.99,183.0,
LEGO City Advent Calendar,29.99,234.0,
Straight & T-Junction,14.99,2.0,
Curves & Crossroad,14.99,2.0,
Police Patrol Car,9.99,92.0,1.0
Kayak Adventure,9.99,84.0,
Bonus/Value pack,,218.0,
Bonus/Value pack,,125.0,
2-in-1 Value Pack: Star-Lord & Gamora,,249.0,
Super Pack 3-in-1,,,
Super Pack 3-in-1,,,
Super Pack 3-in-1,,,
J.B.'s Ghost Lab,19.99,174.0,3.0
Wrecked Shrimp Boat,29.99,310.0,
Graveyard Mystery,29.99,335.0,
El Fuego's Stunt Truck,39.99,428.0,
Shrimp Shack Attack,49.99,579.0,
Paranormal Intercept Bus 3000,59.99,689.0,
Ghost Train Express,79.99,698.0,
Newbury Haunted High School,129.99,1474.0,
Spinjitzu Kai,9.99,97.0,1.0
Spinjitzu Jay,9.99,97.0,1.0
Spinjitzu Zane,9.99,109.0,1.0
